"database","table","rowCount","status"
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Expenses",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Expenses'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","FinalEnrollment Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'FinalEnrollment Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Financing Programs Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Financing Programs Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","General CSN Information",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'General CSN Information'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Graduates",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Graduates'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Instructors",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Instructors'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","InstructorSession","58","ok"
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Invoices",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Invoices'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","InvoiceType",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'InvoiceType'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Name AutoCorrect Save Failures","2","ok"
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Paste Errors","1","ok"
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Payments",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Payments'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","PreEnrollment Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'PreEnrollment Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","ProjectExpenses",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'ProjectExpenses'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Scholarships and Grants",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Scholarships and Grants'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Session of Interest",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Session of Interest'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Student Sign In",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Student Sign In'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Student Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Student Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","StudentAdvertising",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'StudentAdvertising'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","StudentCounselor",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'StudentCounselor'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","StudentFinance Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'StudentFinance Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Switchboard Items",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Switchboard Items'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","tblGrades","1","ok"
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","Vouchers","10","ok"
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database (as of 7-30-2019 current)_Backup.mdb","YearText",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'YearText'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Advertising",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Advertising'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Business Contacts",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Business Contacts'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Class Session Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Class Session Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Class Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Class Table'."""
