"score","FullName","Extension","Length","LastWriteTime"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 9-17-18 Student Spreadsheet 2008-2018--TWC --w notations.xlsx",".xlsx","284135","3/22/2026 12:26:55 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 9-17-18 Student Spreadsheet 2008-2018--TWC --sorted by START DATE upd.xlsx",".xlsx","284137","3/22/2026 12:26:55 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 8-29-18 Student Spreadsheet 2008-2018--TWC (Autosaved).xlsx",".xlsx","265664","3/22/2026 12:26:55 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 8-24-17 Student Spreadsheet 2008-2017--w notations.xlsx",".xlsx","278261","3/22/2026 12:26:55 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 8-24-17 Student Spreadsheet 2008-2017--TWC.xlsx",".xlsx","284664","3/22/2026 12:26:55 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 4-23-18 Student Spreadsheet 2008-2018--TWC.xlsx",".xlsx","270199","3/22/2026 12:26:55 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 10-10-18 Student Spreadsheet 2008-2018--TWC.xlsx",".xlsx","289686","3/22/2026 12:26:55 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 10-10-18 Student Spreadsheet 2008-2018--TWC --w notations.xlsx",".xlsx","289081","3/22/2026 12:26:55 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 10-10-18 Student Spreadsheet 2008-2018--TWC --sorted by START DATE.xlsx",".xlsx","284133","3/22/2026 12:26:55 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 10-10-18 Student Spreadsheet 2008-2018--TWC --sorted by CLASS then start date.xlsx",".xlsx","289864","3/22/2026 12:26:55 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 10-09-18 Student Spreadsheet 2008-2018--TWC  (Autosaved).xlsx",".xlsx","278053","3/22/2026 12:26:55 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\Copy of 10-12-18 MASTER CSN MASTER SORTED 11-30-18 Student Spreadsheet 2008-2018--TWC --w notations.xlsx",".xlsx","286152","3/22/2026 12:26:55 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\CSN MASTER SORTED 11-06-18 Student Spreadsheet 2008-2018--TWC --w notations SORTED BY CLASS.xlsx",".xlsx","277219","3/22/2026 12:26:55 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\10-12-18 MASTER CSN MASTER SORTED 11-15-19 Student Spreadsheet 2008-2019--TWC --w notations.xlsx",".xlsx","298654","3/22/2026 12:26:55 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\10-12-18 MASTER CSN MASTER SORTED 03-04-19 Student Spreadsheet 2008-2018--TWC --w notations.xlsx",".xlsx","298659","3/22/2026 12:26:55 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\Copy of CSN MASTER SORTED 4-23-18 Student Spreadsheet 2008-2018--TWC (Update).xlsx",".xlsx","271822","3/22/2026 12:26:52 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\Copy of CSN MASTER SORTED 4-23-18 Student Spreadsheet 2008-2018--TWC (Autosaved).xlsx",".xlsx","264791","3/22/2026 12:26:52 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 9-17-18 Student Spreadsheet 2008-2018--TWC.xlsx",".xlsx","283272","3/22/2026 12:26:52 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 9-17-18 Student Spreadsheet 2008-2018--TWC .xlsx",".xlsx","284014","3/22/2026 12:26:52 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 9-17-18 Student Spreadsheet 2008-2018--TWC --w notations.xlsx",".xlsx","284135","3/22/2026 12:26:52 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 8-29-18 Student Spreadsheet 2008-2018--TWC (Autosaved).xlsx",".xlsx","265664","3/22/2026 12:26:52 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 8-24-17 Student Spreadsheet 2008-2017--w notations.xlsx",".xlsx","278261","3/22/2026 12:26:52 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 8-24-17 Student Spreadsheet 2008-2017--TWC.xlsx",".xlsx","284664","3/22/2026 12:26:52 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 4-23-18 Student Spreadsheet 2008-2018--TWC.xlsx",".xlsx","270199","3/22/2026 12:26:52 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 10-10-18 Student Spreadsheet 2008-2018--TWC.xlsx",".xlsx","289686","3/22/2026 12:26:52 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 10-10-18 Student Spreadsheet 2008-2018--TWC --w notations.xlsx",".xlsx","289081","3/22/2026 12:26:52 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\CSN MASTER SORTED 10-09-18 Student Spreadsheet 2008-2018--TWC  (Autosaved).xlsx",".xlsx","278053","3/22/2026 12:26:52 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\CSN MASTER SORTED 11-06-18 Student Spreadsheet 2008-2018--TWC --w notations SORTED BY CLASS.xlsx",".xlsx","277219","3/22/2026 12:26:51 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\10-12-18 MASTER CSN MASTER SORTED 11-15-19 Student Spreadsheet 2008-2019--TWC --w notations.xlsx",".xlsx","298654","3/22/2026 12:26:51 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\10-12-18 MASTER CSN MASTER SORTED 03-04-19 Student Spreadsheet 2008-2018--TWC --w notations.xlsx",".xlsx","298659","3/22/2026 12:26:51 PM"
"50","C:\Users\mabro\Downloads\historical-student-data\CSN 2018 Completers Survey-Updated\EnrolledStudentsSept1-Aug31 FORMATTED FOR COMPLETERS SURVEY.xlsx",".xlsx","21140","3/22/2026 12:26:28 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\Potential SQL-PMP Students Since 9-2016 to Current for 6-12-2017 Start Date.xlsx",".xlsx","39143","3/22/2026 12:26:55 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\Potential Java-SQL Students Since 9-2016 to Current for 6-12-2017 Start Date.xlsx",".xlsx","19176","3/22/2026 12:26:55 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN Student Database Back Up.xlsx",".xlsx","28288","3/22/2026 12:26:55 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN Student Database 2008-2017as of 6-7-17 Sorted old to new.xlsx",".xlsx","390857","3/22/2026 12:26:55 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN Student Database 2008-2017as of 6-6-17.xlsx",".xlsx","391480","3/22/2026 12:26:55 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN Student Database 2008-2013 ver2.xlsx",".xlsx","391516","3/22/2026 12:26:55 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN Potential Clients (2011-Current).xlsx",".xlsx","415085","3/22/2026 12:26:55 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\All BACKUPS\CSN Potential Clients (2011-Current) Back up 5-22-17.xlsx",".xlsx","411048","3/22/2026 12:26:55 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\Copy of CSN Potential Clients (2011-Current) as of 2-13-2019.xlsx",".xlsx","449959","3/22/2026 12:26:55 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\CSN Potential Clients (2011-Current) as of 9-3-19.xlsx",".xlsx","472779","3/22/2026 12:26:55 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\STUDENT DATABASE\CSN Potential Clients (2011-Current) as of 11-13-18.xlsx",".xlsx","447707","3/22/2026 12:26:55 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\Potential SQL-PMP Students Since 9-2016 to Current for 6-12-2017 Start Date.xlsx",".xlsx","39143","3/22/2026 12:26:52 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\Potential Java-SQL Students Since 9-2016 to Current for 6-12-2017 Start Date.xlsx",".xlsx","19176","3/22/2026 12:26:52 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\CSN Student Database Back Up.xlsx",".xlsx","28288","3/22/2026 12:26:52 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\CSN Student Database 2008-2017as of 6-7-17 Sorted old to new.xlsx",".xlsx","390857","3/22/2026 12:26:52 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\CSN Student Database 2008-2017as of 6-6-17.xlsx",".xlsx","391480","3/22/2026 12:26:52 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\CSN Student Database 2008-2013 ver2.xlsx",".xlsx","391516","3/22/2026 12:26:52 PM"
"30","C:\Users\mabro\Downloads\historical-student-data\Office Admin\HOW TO'S (STUDENTS_INSTRUCTORS)\HOW TO - ZOOM WEBINAR (INSTRUCTORS)\Office Admin\STUDENT DATABASE\All BACKUPS\CSN Potential Clients (2011-Current).xlsx",".xlsx","415085","3/22/2026 12:26:52 PM"
