campaign_name,budget_daily_usd,location,language,network,bidding_strategy,status
free IT certification Austin,35,"Austin, Texas, United States",English,Search,TARGET_CPA:15,PAUSED
career change tech training,40,"Texas, United States",English,Search,TARGET_CPA:15,PAUSED
Google IT certificate free,35,"United States",English,Search,TARGET_CPA:15,PAUSED
WIOA training Texas,45,"Texas, United States",English,Search,TARGET_CPA:15,PAUSED
no cost coding bootcamp Austin,35,"Austin, Texas, United States",English,Search,TARGET_CPA:15,PAUSED
